Utterance	Segment
Share the list of item numbers in the product catalog for which i have access to create purchase requisition in legal entity USMF	Procurement & Sourcing (Requisition to Reciept)
Share the current status of the purchase requisition number 000081	Procurement & Sourcing (Requisition to Reciept)
Share the purchase order reference for the approved purchase requisition number 000081	Procurement & Sourcing (Requisition to Reciept)
Show me what makes up GL account 1110 for this period	Record to report (Trial Balance)
What are the top drivers hitting GL account 6110 this period	Record to report (Trial Balance)
Break down GL account 1300 by department for this period	Record to report (Trial Balance)
Show me the vendor invoices behind postings to GL account 2010 for this period	Record to report (Trial Balance)
Open the source document for voucher 000123	Record to report (Trial Balance)
What document caused the posting to GL account 1650 on 1 15 2026	Record to report (Trial Balance)
What is still unposted for this period that could impact the trial balance	Record to report (Trial Balance)
Is there anything unposted that will hit GL account 6110 this period	Record to report (Trial Balance)
Do I have any unposted activity left for this period	Record to report (Trial Balance)
When was the trial balance last calculated for this period	Record to report (Trial Balance)
What exactly is included in the trial balance for this period	Record to report (Trial Balance)
Do I need to recalculate the trial balance for this period	Record to report (Trial Balance)
Why did GL account 4010 change from last period to this period	Record to report (Trial Balance)
Walk me through what happened on GL account 1305 this period	Record to report (Trial Balance)
Take me from trial balance to the journal entries for GL account 1110 this period	Record to report (Trial Balance)
Show me where the balance in GL account 6100 is coming from this period	Record to report (Trial Balance)
Open the source documents for the largest postings to GL account 2010 this period	Record to report (Trial Balance)
My trial balance does not balance for this period, what should I check first	Record to report (Trial Balance)
Before I recalculate, what do I need to verify for this period	Record to report (Trial Balance)
Is there a posting failure affecting this period	Record to report (Trial Balance)
For audit, what trial balance snapshot should I reference for this period	Record to report (Trial Balance)
What posted after the last trial balance snapshot for this period	Record to report (Trial Balance)
Show me the journal entries for vouchers 000123 and 000124	Record to report (Trial Balance)
Give me a reconciliation summary for GL account 1110 for this period	Record to report (Trial Balance)
