Utterance	Segment
What is the largest single vendor invoice in January 2026	Trial Balance
What is the total unposted vendor invoice exposure in February 2026	Trial Balance
What is the total unposted GL journal exposure in February 2026	Trial Balance
What would total February expenses be if all unposted items were posted	Trial Balance
What is the combined January and February vendor invoice total	Trial Balance
What is the month over month growth rate in total expenses	Trial Balance
What is the average invoice amount in February 2026	Trial Balance
What is the average invoice amount in January 2026	Trial Balance
What is the total expense balance as of February 15, 2026 and how does it compare to January 31, 2026	Trial Balance
How much of February 2026 Promotional Expense was recorded in the first half of the month versus the second half	Trial Balance
Which expense account shows the highest cumulative YTD balance as of February 28, 2026	Trial Balance
What is the variance in Training Expense between February 15 and February 28, 2026	Trial Balance
What is the total expense impact from invoices dated February 21 through February 24, 2026	Trial Balance
How much of February total expense came from the top two invoices	Trial Balance
What is the total expense impact of all invoices posted after February 20, 2026	Trial Balance
What is the cumulative expense total through January 15, 2026	Trial Balance
How much of January expense was recorded in the final 10 days of the month	Trial Balance
What is the difference between cumulative vendor invoice totals and cumulative GL journal totals through February 28, 2026	Trial Balance
What is the daily average expense for February 2026	Trial Balance
Which date in February 2026 had the highest single day vendor invoice impact	Trial Balance
What is the ratio of February Promotional Expense to Insurance Expense	Trial Balance
How much did Insurance Expense increase month over month in dollar terms and percent	Trial Balance
If February expenses were reduced by eliminating the three smallest invoices what would the adjusted total be	Trial Balance
What is the cumulative Training Expense YTD as of February 28, 2026	Trial Balance
What is the cumulative Insurance Expense YTD as of February 28, 2026	Trial Balance
What is the combined total of the five largest February invoices	Trial Balance
What percent of total February expense do those five invoices represent	Trial Balance
What is the difference between total January vendor invoices and total January GL journals	Trial Balance
What is the total expense recorded between February 1 and February 7, 2026	Trial Balance
What is the total expense recorded between February 8 and February 14, 2026	Trial Balance
What is the total expense recorded between February 15 and February 21, 2026	Trial Balance
What is the total expense recorded between February 22 and February 28, 2026	Trial Balance
What is the total expense recorded between January 1 and January 7, 2026	Trial Balance
What is the total expense recorded between January 8 and January 14, 2026	Trial Balance
What is the total expense recorded between January 15 and January 21, 2026	Trial Balance
What is the total expense recorded between January 22 and January 31, 2026	Trial Balance
What percent of January total expense occurred in the last 10 days of the month	Trial Balance
What percent of February total expense occurred in the last 7 days of the month	Trial Balance
Which half of February 2026 had higher expense and by how much	Trial Balance
What is the difference between first half January and first half February expenses	Trial Balance
What is the variance between the largest January invoice and the largest February invoice	Trial Balance
What is the total of invoices dated February 16 through February 18, 2026	Trial Balance
What is the total of invoices dated January 18 through January 20, 2026	Trial Balance
How much did Promotional Expense change from February 14 to February 28, 2026	Trial Balance
How much did Training Expense change from February 14 to February 28, 2026	Trial Balance
How much did Insurance Expense change from February 14 to February 28, 2026	Trial Balance
What is the combined total of the three largest invoices across both months	Trial Balance
What is the variance between January vendor invoice total and February vendor invoice total	Trial Balance
What is the ratio of total January expense to total February expense	Trial Balance
What percent of cumulative YTD expense is February activity	Trial Balance
What percent of cumulative YTD expense is January activity	Trial Balance
What is the total vendor invoice activity in the last 5 days of February 2026	Trial Balance
What is the average daily expense in January 2026	Trial Balance
What is the average daily expense in February 2026	Trial Balance
What is the cumulative expense balance as of January 21, 2026	Trial Balance
What is the cumulative expense balance as of February 21, 2026	Trial Balance
What is the variance between February 1–7 and February 8–14 expense activity	Trial Balance
What is the variance between January 1–14 and January 15–31 expense activity	Trial Balance
How much of February 2026 total expense was recorded on the single highest day	Trial Balance
What is the spread between the largest and smallest February invoice	Trial Balance
What is the spread between the largest and smallest January invoice	Trial Balance
What is the total February 2026 expense excluding the largest invoice	Trial Balance
What is the total January 2026 expense excluding the largest invoice	Trial Balance
What is the percentage increase in Promotional Expense from January to February	Trial Balance
What is the percentage increase in Training Expense from January to February	Trial Balance
What is the percentage increase in Insurance Expense from January to February	Trial Balance
How much of cumulative YTD expense was recorded after February 15, 2026	Trial Balance
What is the combined impact of the top three January invoices as a percent of January total	Trial Balance
What is the combined impact of the top three February invoices as a percent of February total	Trial Balance
What is the cumulative vendor invoice amount through February 15, 2026	Trial Balance
What is the difference between cumulative vendor invoices and cumulative expense balance as of February 15, 2026	Trial Balance
What is the GL journal contribution to cumulative YTD expense as of February 28, 2026	Trial Balance
What is the vendor invoice contribution to cumulative YTD expense as of February 28, 2026	Trial Balance
What is the ratio of February expense to January expense	Trial Balance
