Scenario Name,Product Area,Type,User Question,Expected Response  (in demo data),Multi-Turn Conversation Pattern,Contact alias,User Role,Ready for Review
Requisition to Reciept,Procurement & Sourcing,Create,"create purchase requisition in legal entity ""USMF"" with name ""PR test 001""","I have successfully created a purchase requisition in legal entity USMF with the following details:
Purchase Requisition Created
• Purchase Requisition ID: 000081
• Name: PR test 001
• Legal Entity: USMF
• Status: Draft
• Requested Date: 1/27/2026
• Accounting Date: 1/27/2026
• Requisition Purpose: Consumption
The purchase requisition has been saved successfully and is now ready for you to add line items",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Read,Share the list of item numbers in the product catalog for which i have access to create purchase requisition in legal entity USMF,"Based on the product catalog in legal entity USMF, here are the item numbers available for creating purchase requisitions:

Item Numbers from Product Catalog (USMF):

C0001 - Microsoft Natural Keyboard Elite
C0002 - Microsoft Arc™ Keyboard
C0003 - Microsoft Arc™ Mouse
C0004 - Lifecam HD 5000
All of these items are released products in the USMF legal entity and can be used when creating purchase requisitions",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Create,"For purchase requisition 000081 in legal entity USMF, Add item C0001 with 10 quantity and C0002 with 20 quantity","I have successfully added both items to the purchase requisition ""PR test 001"". Here's a summary of what was added:
Purchase Requisition lines added
Purchase Requisition: 000081 - PR test 001
Legal Entity: USMF
Status: Draft
Line Items Added:
Line 1: Item C0001
• Product Name: Microsoft Natural Keyboard Elite
• Quantity: 10.00 ea
• Unit Price: $39.95
• Net Amount: $399.50
• Procurement Category: Computers
• Vendor: US-111 (Contoso office supply)
Line 2: Item C0002
• Product Name: Microsoft Arc™ Keyboard
• Quantity: 20.00 ea
• Unit Price: $49.95
• Net Amount: $999.00
• Procurement Category: Computers
• Vendor: US-111 (Contoso office supply)
Total Value: $1,398.50 USD
The purchase requisition has been saved successfully and is ready for submission or further processing",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Create,"For purchase requisition 000082 in legal entity USMF, add procurement category as ""cleaning"" with quantity 5","Perfect! I have successfully added the cleaning procurement category. Here's a summary of what was created:

Line Details:
Line Number: 1
Procurement Category: Cleaning
Product Name: Cleaning services
Quantity: 5.00
Unit: ea (each)
Requester: Julia Funderburk
Buying Legal Entity: USMF
Receiving Operating Unit: Sales & Marketing
Currency: USD",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act,Submit the purchase requisition 000081 in legal entity USMF for approval,"	Excellent! Purchase requisition 000081 has been successfully submitted for approval. Here's the confirmation:
	Submission Successful
	Purchase Requisition: 000081 - PR test 001
	Previous Status: Draft
	Current Status: In review ✓
	Line Items Status:
	Both line items have been submitted and are now in review:
	Line 1: Item C0001 (Microsoft Natural Keyboard Elite)
	• Quantity: 10.00 ea
	• Status: In review
	Line 2: Item C0002 (Microsoft Arc™ Keyboard)
	• Quantity: 20.00 ea
	• Status: In review",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Read,Share the current status of the purchase requisition number 000081,"	Got it! Purchase requisition 000081 has been pending for approval with Inga. Details:	
	Purchase Requisition: 000081 - PR test 001
	Previous Status: Draft
Current Status: In Review
The purchase requisition has entered the approval workflow and is now awaiting review by the designated approvers according to your organization's workflow configuratio",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Read,I wish to recall the purchase requisition 000081 submitted for approval and update the status to draft,"Done, Purchase requisition 000081 has been successfully recalled from the workflow approval
Recalled Successfully
Purchase Requisition: 000081 - PR test 001
	Previous Status: In Review
Current Status: Draft",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Delete,"In the purchase requisition 000083 in legal entity ""USMF"", remove the line with item number C0001 and replace it with item number C0003 with quantity 10","Perfect! I have successfully completed the modifications to purchase requisition 000083:

Summary of Changes
✓ Line Removed:
Item C0001 (Microsoft Natural Keyboard Elite) has been deleted
✓ New Line Added:
Item Number: C0003
Product Name: Microsoft Arc™ Mouse
Quantity: 10.00
Unit: ea (each)
Unit Price: $34.95
Net Amount: $349.50
Vendor: US-111 (Contoso office supply)
Status: Draft

Current Purchase Requisition Lines (000083):
Line 1: C0002 - Microsoft Arc™ Keyboard (Qty: 1.00, Amount: $49.95)
Line 2: C0003 - Microsoft Arc™ Mouse (Qty: 10.00, Amount: $349.50)",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act,Approve the purchase requisition,"Perfect! Purchase requisition 000056 has been successfully approved in USMF.

The approval has been completed and I can confirm:

Purchase Requisition: 000056
Name: req test2
Status: Approved (changed from ""In review"")
Preparer: Julia Funderburk
Requisition Amount: $399.50 USD
Line Details:
Item: C0001 (Microsoft Natural Keyboard Elite)
Quantity: 10 ea
Unit Price: $39.95
Vendor: US-111 (Contoso office supply)
Line Status: Approved
The purchase requisition is now approved ",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act / Create,Release approved purchase requisition number 000083 and create a new purchase order for this requisition 000083 in USMF,"Perfect! Purchase order 00000205 has been successfully created from purchase requisition 000083. Here are the complete details:

Purchase Order Summary
Purchase Order: 00000205
Company: USMF
Vendor: US-111 - Contoso office supply
Approval Status: Approved
Purchase Order Status: Open order
Requested Receipt Date: 1/28/2026
Mode of Delivery: 10
Delivery Terms: EXW
Currency: USD

Purchase Order Lines
Line 1
Item Number: C0002
Product Name: Microsoft Arc™ Keyboard
Procurement Category: Computers
Quantity: 1.00 ea
Unit Price: $49.95
Net Amount: $49.95
Site: 1
Warehouse: 13
Source: Purchase Requisition 000083
Line 2
Item Number: C0003
Product Name: Microsoft Arc™ Mouse
Variant Number: VN-000121
Procurement Category: Computers
Quantity: 10.00 ea
Unit Price: $34.95
Net Amount: $349.50
Site: 1
Warehouse: 13
Source: Purchase Requisition 000083
Total Order Value: $399.45",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Read,Share the purchase order reference for the approved purchase requisition number 000081,"Perfect I have following purchase order details against the purchase requisition number 000081 in legal entity USMF

details
Purchase order number: 000000200
vendor account :US-111",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act ,Confirm the purchase order 000000200 for this vendor US-111,"Purchase Order Confirmation Complete
I have successfully confirmed Purchase Order 00000200 for vendor US-111 (Contoso office supply)!
Confirmation Details:
Before Confirmation:
• Approval Status: Approved
• Purchase Order Status: Open order
After Confirmation:
• Approval Status: Confirmed ✓
• Purchase Order Status: Open order
• Vendor: US-111 (Contoso office supply)
• Currency: USD
• Requested Receipt Date: 1/27/2026
• Mode of Delivery: 10
• Delivery Terms: EXW
System Message:
""Operation completed"" - The confirmation process was successful",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act,post the product receipt for this purchase order 00000200 for vendor US-111 and use product receipt number as PR-270126-01,"Product Receipt Posted Successfully!
I have successfully posted the product receipt PR-270126-01 for Purchase Order 00000200 for vendor US-111 (Contoso office supply).
Product Receipt Details:
Product Receipt Number: PR-270126-01
Product Receipt Date: 1/27/2026
Purchase Order: 00000200
Vendor: US-111 (Contoso office supply)
Items Received:
Line 1:
• Item: C0001 (Microsoft Natural Keyboard Elite)
• Quantity Received: 10.00 ea
• Unit Price: $39.95
• Line Amount: $399.50
• Site: 1
• Warehouse: 13
Line 2:
• Item: C0002 (Microsoft Arc™ Keyboard)
• Quantity Received: 20.00 ea
• Unit Price: $49.95
• Line Amount: $999.00
• Site: 1
• Warehouse: 13
Total Value: $1,398.50 USD
Purchase Order Status Update:
Before Product Receipt:
• Approval Status: Confirmed
• Purchase Order Status: Open order
After Product Receipt:
• Approval Status: Confirmed
Purchase Order Status: Received ",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act,Post the invoice for the purchase order 00000200 with invoice number IN-270126-001 and invoice date as 26-01-2026,"	Vendor Invoice Posted Successfully! ✓
	I have successfully posted the vendor invoice IN-270126-001 for Purchase Order 00000200!
	Invoice Details:
	Invoice Information:
	• Invoice Number: IN-270126-001
	• Invoice Date: 1/26/2026 (26-01-2026)
	• Invoice Received Date: 1/27/2026
	• Posting Date: 1/27/2026
	• Due Date: 2/25/2026
	Vendor Information:
	• Vendor Account: US-111 (Contoso office supply)
	• Purchase Order: 00000200
	• Product Receipt: PR-270126-01
	Invoice Lines Posted:
	Line 1:
	• Item: C0001 (Microsoft Natural Keyboard Elite)
	• Quantity: 10.00 ea
	• Unit Price: $39.95
	• Line Amount: $399.50
	• Site: 1, Warehouse: 13
	Line 2:
	• Item: C0002 (Microsoft Arc™ Keyboard)
	• Quantity: 20.00 ea
	• Unit Price: $49.95
	• Line Amount: $999.00
	• Site: 1, Warehouse: 13
	Total Invoice Amount: $1,398.50 USD",,,,Yes
Requisition to Reciept,Procurement & Sourcing,Act,cancel the approved purchase requisition 000056 from USMF legal entity,"Perfect! Purchase requisition 000056 has been successfully cancelled in USMF. I can confirm:

Cancellation Confirmation
Purchase Requisition: 000056
Name: req test2
Company: USMF
Previous Status: Approved
Current Status: Cancelled

Purchase Requisition Details
Preparer: Julia Funderburk
Created Date: 1/18/2026 1:47:42 PM
Submitted Date: 1/18/2026 1:50:26 PM
Requisition Purpose: Consumption
Cancelled Line Details
Line 1:

Item Number: C0001
Product Name: Microsoft Natural Keyboard Elite
Procurement Category: Computers
Quantity: 10.00 ea
Unit Price: $39.95
Net Amount: $399.50
Currency: USD
Vendor: US-111 - Contoso office supply
Line Status: Cancelled
The approved purchase requisition 000056 and all its lines have been successfully cancelled. This requisition will no longer be processed or converted into purchase orders.",,,,Yes
Trial Balance,Record to report,,Show me what makes up GL account 1110 for this period,Using legal entity USMF and fiscal period Jan 2026. Using the most recent calculated trial balance snapshot for this period. GL account 1110 is made up of 128 posted transactions. Here are the transactions with amounts and dimensions.,Ask legal entity and period or confirm defaults → Retrieve latest trial balance snapshot for scope → Retrieve voucher transactions for GL account → Summarize drivers → Offer next action open top vouchers or filter by dimension,,,Yes
Trial Balance,Record to report,,What are the top drivers hitting GL account 6110 this period,"Using USMF Jan 2026 and the latest calculated trial balance. GL account 6110 activity is driven by 3 large vouchers totaling 420,000. Here are the top contributing transactions and their source type.",Ask legal entity and period or confirm defaults → Retrieve latest trial balance snapshot → Retrieve GL account transactions and rank by amount → Return top drivers with evidence → Suggest opening the voucher journals,,,Yes
Trial Balance,Record to report,,Break down GL account 1300 by department for this period,"Using USMF Jan 2026. From the latest calculated trial balance, here is GL account 1300 activity grouped by Department with totals and the supporting vouchers.",Ask legal entity and period or confirm defaults → Retrieve snapshot and GL account transactions → If dimension requested check availability or fall back to transactions list with dimension columns → Aggregate by dimension → Offer refinement add another dimension,,,Yes
Trial Balance,Record to report,,Show me the vendor invoices behind postings to GL account 2010 for this period,"Using USMF Jan 2026. From the latest calculated trial balance, postings to GL account 2010 include vendor invoices INV 04521 and INV 04534. Opening the first invoice link.",Ask legal entity and period or confirm defaults → Retrieve snapshot → Retrieve vouchers for GL account → Identify AP sourced vouchers and invoice references → Return invoice list and links → Suggest open invoice or export list,,,Yes
Trial Balance,Record to report,,Open the source document for voucher 000123,Using USMF Jan 2026. Voucher 000123 is a vendor invoice INV 04521. Opening the invoice record.,Ask voucher number → Retrieve voucher transaction and journal entry → Identify source module and document reference → Open source document link → Offer next action show accounting distributions,,,Yes
Trial Balance,Record to report,,What document caused the posting to GL account 1650 on 1 15 2026,Using USMF Jan 2026. The posting to GL account 1650 on 1 15 is from fixed asset acquisition FA 000812. Opening the fixed asset transaction.,Ask legal entity and date plus GL account or confirm defaults → Retrieve voucher transactions meeting filters → Open journal entry to identify source module → Retrieve source document record → Return evidence and open link,,,Yes
Trial Balance,Record to report,,What is still unposted for this period that could impact the trial balance,Using USMF Jan 2026. There are 6 unposted general journals and 2 pending vendor invoices dated in this period that would impact the trial balance once posted.,Ask legal entity and period or confirm defaults → Fetch unposted journals and pending invoices within date range → Summarize counts and amounts by area → Suggest next action open the largest items or post,,,Yes
Trial Balance,Record to report,,Is there anything unposted that will hit GL account 6110 this period,"Using USMF Jan 2026. One unposted general journal for 120,000 includes a line posting to GL account 6110. Here is the journal and line summary.",Ask GL account plus period or confirm defaults → Retrieve unposted items in scope → Filter to target GL account by journal lines and distributions → Return list of pending sources → Suggest post or exclude per close policy,,,Yes
Trial Balance,Record to report,,Do I have any unposted activity left for this period,Using USMF Jan 2026. I found zero unposted general journals and zero pending vendor invoices dated in this period.,Ask legal entity and period or confirm defaults → Check unposted journals and pending subledger docs → Return clear yes or no plus counts → Suggest next action run TB snapshot or proceed to review,,,Yes
Trial Balance,Record to report,,When was the trial balance last calculated for this period,Using USMF Jan 2026. The most recent trial balance snapshot for this period was created Jan 31 2026 6 14 PM by user Amina.,Ask legal entity and period or confirm defaults → Retrieve latest trial balance snapshot record → Return timestamp and parameters → Suggest next action check postings since snapshot,,,Yes
Trial Balance,Record to report,,What exactly is included in the trial balance for this period,Using USMF Jan 2026. The trial balance was calculated for From date 1 1 2026 To date 12 31 2026 using Posting layer Current and Financial dimension set Main account.,Ask legal entity and period or confirm defaults → Retrieve snapshot parameters or current trial balance parameters → Summarize scope in plain language → Offer next action rerun snapshot if scope needs change,,,Yes
Trial Balance,Record to report,,Do I need to recalculate the trial balance for this period,"Using USMF Jan 2026. Since the last trial balance snapshot was created, 3 vouchers posted within the date range. Recalculating may change balances for 2 GL accounts.",Ask legal entity and period or confirm defaults → Retrieve snapshot timestamp → Retrieve postings since timestamp within date range → Summarize potential impact → Suggest next action recalc or proceed,,,Yes
Trial Balance,Record to report,,Why did GL account 4010 change from last period to this period,"Using USMF Jan 2026 vs Dec 2025. The change is driven by 4 vouchers totaling 310,000. Here are the vouchers and sources.",Ask GL account and compare period or confirm defaults → Retrieve both period balances from snapshots or calculated TB → Compute delta → Retrieve contributing vouchers → Return ranked drivers and next action,,,Yes
Trial Balance,Record to report,,Walk me through what happened on GL account 1305 this period,Using USMF Jan 2026. Here is the posting timeline for GL account 1305 with the key vouchers in order and their sources.,Ask GL account plus period or confirm defaults → Retrieve GL account vouchers sorted by date → Summarize sequence and key events → Offer next action open a specific voucher,,,Yes
