*This is the set of extensibility queries which can be run on either Microsoft or test tenant user accounts - see Enterprise/src/CopilotPluginMocks for DA manifests and setup instructions*	Utterance	Segment	gpt_name	CIQ	annotation
TestTenantOrMsit	Get all existing inspection records	Power Platform	Active Inspections Mock DA	ciq	"[]"
TestTenantOrMsit	Get the active inspection records	Power Platform	Active Inspections Mock DA	ciq	"[]"
TestTenantOrMsit	Find my next meetings	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Give me sales engaged contacts for ABC Corporation	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Hi! Could you introduce yourself?	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Show me ABC Corporation revenue trends	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Show me child account summary of TPID 270693	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Show opportunities related to Espresso	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Show Socia Company account summary	OpenAPI - TypeB	CopilotForSales Mock DA	ciq	"[]"
TestTenantOrMsit	Can you resend the envelope da965a14-f596-4c79-aa98-35fdfb36a6fa?	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Get me the status of document called monthly contract	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Has Colin Craine signed the monthly contract sent last week?	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	List all my envelopes	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show all completed envelopes	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show all envelopes in completed status from 25th April, 2024 to Colin	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show all pending envelopes sent to John Peltier	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show all recipients from the monthly contract document	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show all sent envelopes from 25th April, 2024	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show me all envelopes sent from 25th April, 2024 to John P	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Show sent envelopes belonging to John Peltier	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Whats the status of Tally NDA?	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Whats the update on the monthly contract?	OpenAPI - DataVerse	DocusignDemo Mock DA	ciq	"[]"
TestTenantOrMsit	Create a new freshdesk ticket. Set the subject='Replace Water Heater', description='user wants to replace their water heater unit', priority=medium, status=open, email should be joe@microsoft.com	OpenAPI - DataVerse	Freshdesk Mock DA	ciq	"[]"
TestTenantOrMsit	Mark freshdesk ticket 4 as resolved	OpenAPI - DataVerse	Freshdesk Mock DA	ciq	"[]"
TestTenantOrMsit	Set the description and subject fields of freshdesk ticket 43 to be 'Replace Water Heater'	OpenAPI - DataVerse	Freshdesk Mock DA	ciq	"[]"
TestTenantOrMsit	Show me details about freshdesk ticket 2	OpenAPI - DataVerse	Freshdesk Mock DA	ciq	"[]"
TestTenantOrMsit	Update freshdesk ticket 15, setting the priority to high	OpenAPI - DataVerse	Freshdesk Mock DA	ciq	"[]"
TestTenantOrMsit	what is the status of freshdesk ticket 12	OpenAPI - DataVerse	Freshdesk Mock DA	ciq	"[]"
TestTenantOrMsit	Catch me up on all issues in Dummy-User-1/Dummy-Repo-1 repository. What are the common themes across those issues?	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Catch me up on all pending PRs in John-Doe-TypeB/QOS-Testing repository.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Catch me up on any action items that I may have?	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Display the issues assigned to me with the label 'bug'.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Fetch more details about issue number 8 from repository Dummy-User-1/Dummy-Repo-1.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Generate a table of issues raised in September 2024 from the Dummy-User-1/Dummy-Repo-1 repo which have not been assigned yet	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	List issues assigned to me	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	List open issues from Dummy-User-1/Dummy-Repo-1.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	List open pull requests from Dummy-User-1/Dummy-Repo-1.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Prioritize all the issues assigned to me based on their criticality.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Reopen issue number 4 from repository Dummy-User-1/Dummy-Repo-1.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Show me all relevant discussions and documentation related to issue number 5 in Dummy-User-1/Dummy-Repo-1 repository	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Show me the historical context for issue number 2 in Dummy-User-1/Dummy-Repo-1 repository	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Summarize the progress I have made on all the issues in a tabular format.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Update issue #4 from repository Dummy-User-1/Dummy-Repo-1 and change the assignee to Dummy-User-2.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Update issue number 4 from repository Dummy-User-1/Dummy-Repo-1 and close it.	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	What are the issues assigned to me?	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	What are the previous solutions or decisions related to issue number 7 in Dummy-User-1/Dummy-Repo-1 repository	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
TestTenantOrMsit	Which issues in repository Dummy-User-1/Dummy-Repo-1 got closed	OpenAPI - TypeB	GitHub Staging Mock DA	ciq	"[]"
